,longitude,latitude,event_type,bulletin,origin_time,depth,magnitude
event_2022_1,20.011000,67.867,explosion,helsinki,2022-01-01T00:16:28.900000Z,0.000,1.5
event_2022_2,20.217000,67.843,explosion,helsinki,2022-01-01T00:20:29.000000Z,0.000,1.4
event_2022_9965,20.790900,67.8642,,leb,2022-01-01T00:20:31.540000Z,0.000,1.6
event_2022_9966,97.065400,27.1618,,leb,2022-01-01T01:27:00.940000Z,0.000,3.5
event_2022_9967,73.328900,38.3379,,leb,2022-01-01T02:17:49.710000Z,52.200,3.8
event_2022_3,33.991000,67.635,explosion,helsinki,2022-01-01T02:18:48.800000Z,0.000,1.1
event_2022_4,20.092000,67.924,explosion,helsinki,2022-01-01T02:26:15.800000Z,0.000,0.7
event_2022_5,33.894000,67.693,explosion,helsinki,2022-01-01T02:33:05.500000Z,0.000,1.6
event_2022_9968,33.893800,67.649,,leb,2022-01-01T02:33:07.130000Z,0.000,2.3
event_2022_9969,170.595400,54.5817,,leb,2022-01-01T02:51:56.460000Z,0.000,2.5
event_2022_9970,157.817700,51.2394,,leb,2022-01-01T03:34:35.600000Z,78.900,4.0
event_2022_6,20.571000,67.193,explosion,helsinki,2022-01-01T03:46:11.800000Z,0.000,1.1
event_2022_9971,72.196200,37.5035,,leb,2022-01-01T03:46:12.310000Z,166.400,3.2
event_2022_7,33.612000,67.8,explosion,helsinki,2022-01-01T04:11:14.400000Z,0.000,1.1
event_2022_8,33.815000,67.82,explosion,helsinki,2022-01-01T05:03:12.900000Z,0.000,1.3
event_2022_9972,142.481500,31.1278,,leb,2022-01-01T06:07:16.290000Z,0.000,3.2
event_2022_9973,124.940200,24.8238,,leb,2022-01-01T07:02:24.040000Z,0.000,3.7
event_2022_9,20.631000,67.179,explosion,helsinki,2022-01-01T07:08:21.200000Z,0.000,0.9
event_2022_10,20.204000,67.794,explosion,helsinki,2022-01-01T07:25:40.100000Z,0.000,0.8
event_2022_9974,123.373000,25.0509,,leb,2022-01-01T07:27:55.490000Z,0.000,3.3
event_2022_9975,34.822700,-5.963,,leb,2022-01-01T07:56:06.550000Z,0.000,3.7
event_2022_9976,-28.270400,44.2368,,leb,2022-01-01T08:08:23.380000Z,0.000,3.8
event_2022_9977,123.533100,25.1663,,leb,2022-01-01T08:14:57.640000Z,61.000,3.9
event_2022_9978,121.816700,20.0293,,leb,2022-01-01T08:35:09.280000Z,74.100,3.7
event_2022_9979,54.624400,26.7488,,leb,2022-01-01T08:38:36.200000Z,0.000,3.7
event_2022_11,33.928000,67.634,explosion,helsinki,2022-01-01T08:47:23.000000Z,0.000,1.4
event_2022_9980,-91.949700,14.8819,,leb,2022-01-01T09:35:00.580000Z,99.900,3.7
event_2022_12,20.156000,67.84,explosion,helsinki,2022-01-01T10:03:45.000000Z,0.000,1.2
event_2022_9981,122.687300,3.9111,,leb,2022-01-01T10:04:40.210000Z,603.900,3.5
event_2022_13,33.845000,67.672,explosion,helsinki,2022-01-01T10:37:53.100000Z,0.000,1.0
event_2022_14,34.031000,67.866,explosion,helsinki,2022-01-01T12:05:01.900000Z,0.000,1.4
event_2022_9982,26.577700,34.5571,,leb,2022-01-01T12:28:47.510000Z,0.000,2.9
event_2022_9983,145.579100,13.9388,,leb,2022-01-01T13:00:58.220000Z,52.900,3.5
event_2022_9984,21.755800,38.5425,,leb,2022-01-01T13:01:55.640000Z,0.000,3.4
event_2022_9985,71.142800,36.4694,,leb,2022-01-01T13:15:25.680000Z,241.700,4.8
event_2022_15,33.932000,67.675,explosion,helsinki,2022-01-01T14:16:58.000000Z,0.000,1.1
event_2022_9986,143.117200,21.6083,,leb,2022-01-01T15:30:48.490000Z,343.300,2.9
event_2022_9987,139.902500,33.1042,,leb,2022-01-01T15:37:40.600000Z,95.400,3.5
event_2022_9988,122.296700,23.9474,,leb,2022-01-01T16:52:46.680000Z,0.000,3.8
event_2022_9989,70.556200,36.3704,,leb,2022-01-01T17:27:30.980000Z,118.600,3.6
event_2022_16,20.553000,67.114,explosion,helsinki,2022-01-01T18:05:22.300000Z,0.000,0.9
event_2022_9510,2.715100,78.9015,earthquake,norsar,2022-01-01T19:20:09.663000Z,10.000,1.9
event_2022_9990,-73.927400,18.6589,,leb,2022-01-01T20:42:24.270000Z,0.000,3.5
event_2022_9991,-7.669600,36.3359,,leb,2022-01-01T21:03:47.270000Z,0.000,4.2
